Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
2022-09-18,Troutman Pepper,Data Analyst,"Pittsburgh, PA",,,,,,https://www.linkedin.com/jobs/view/data-analyst-at-troutman-pepper-3324904463?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=pbqUbqHeoEM7BKN9WYxntw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,PEAK Technical Staffing USA,Entry Level Data Analysis Engineer,"Cheswick, PA","The engineer's general function is to build, maintain, and improve laboratory and plant-level equipment (including equipment for sample preparation, test, and measurement), and develop new experimental methods, in support of R&D and non-R&D customers. The engineer also own process and product improvement projects that may have visibility beyond R&D.




AS, BS, or MS in Engineering, Technology or Scientific Discipline (Physics, Chemistry, Electrical, Mechanical, Material Science, etc.)

The primary location for this role will be in the laboratory environment at Vitro Glass Technology Center. The incumbent may, on occasion, be required to travel to various manufacturing facilities in the United States and Mexico to provide support. The role is primarily daylight hours with occasional travel requirements. Overtime may be required in support of projects",Entry level,Contract,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/entry-level-data-analysis-engineer-at-peak-technical-staffing-usa-3329626579?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=kdli7sRrX16QhrYJNsClzg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,NR Consulting,Data Analyst,"Pittsburgh, PA","Job Title: Data Analyst

Location: Pittsburgh, PA or Conshohocken, PA

Duration: 10+ Months",Entry level,Contract,Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/data-analyst-at-nr-consulting-3324422568?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=F9GRLt0qVMMsISPXry8Deg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Performance Review Institute (PRI),Data Analyst,"Warrendale, PA","PRI DATA ANALYST

Location: Warrendale PA or remote

SUMMARY:

The Data Analyst position is a specialized position in the IT department. This role needs to understand the data in use and the business reasons behind that data. The analyst will be asked to solve business problems through data, making the large amount of available data actionable by the business unit, the customers, and other stakeholders. This would include analysis, development of professional dashboards, visualizations, and other appropriate outputs.",Entry level,Full-time,Information Technology,Non-profit Organizations,https://www.linkedin.com/jobs/view/data-analyst-at-performance-review-institute-pri-3330012478?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=MQHYGW8sMB9lmUrWGFkvCg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Insight Global,Business Data Analyst,"Pittsburgh, PA",,Mid-Senior level,Contract,Analyst,Financial Services,https://www.linkedin.com/jobs/view/business-data-analyst-at-insight-global-3343541618?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=jF%2F4inSdz4ZCOnydfyqFIA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,"RIT Solutions, Inc.",SQL Data Analyst,"Pittsburgh, PA","Please provide LinkedIn profile with all submissions and/or a photo ID

SQL Data Analyst

Client: Wesco ( I already have 4 people billing with this client)

Duration: 12 months

Reason Open: Backfill

Rate: 57/hr. C2C

Location: 100% REMOTE (Client is in Pittsburgh, PA so EST or CST time zones only)

Interview: 2 MS Teams

Work Atuh: USC or GC


Our preferred client is looking for a SQL Data Analyst to support analytics activities in category management, marketing, product management and sales.",Entry level,Full-time,Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs/view/sql-data-analyst-at-rit-solutions-inc-3322029107?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=wmOdNfswXdFmKksrLbiF8g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Crown Castle,Data Analyst,"Canonsburg, PA",,,,,,https://www.linkedin.com/jobs/view/data-analyst-at-crown-castle-3289067055?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=hPokUc1YnGtch5GjzUA61g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,University of Pittsburgh,Statistical Data Analyst,"Pittsburgh, PA","Med-Medicine - Pennsylvania-Pittsburgh - ( 22007857 )

The Department of Medicine, Division of General Medicine is hiring a Data Analyst. The Statistical Data Analyst will work at the Center for Research Healthcare Data Center, which supports University researchers by providing expert consultation and direct assistance in areas including research study design, data management, and statistical analyses.

The Specialist will work directly with senior, faculty-level statisticians to design and implement appropriate methods for the management and analysis of complex research study data.

Other duties include assisting in manuscript preparation and drafting statistical analyses sections of new grant applications. The incumbent will also advise other CRHC staff on statistical programming issues.

The Specialist must possess expert knowledge of research methodology, and statistics in particular, in order to work with a high level of autonomy.

Candidate must have a masters degree in statistics or related field with additional knowledge of statistical packages (SAS, STATA, R, or S-Plus). A combination of relevant experience and education may be substituted for a masters degree.

The University of Pittsburgh is committed to championing all aspects of diversity, equity, inclusion, and accessibility within our community. This commitment is a fundamental value of the University and is crucial in helping us advance our mission, which includes attracting and retaining diverse workforces. We will continue to create and maintain an environment that allows individuals to discover, belong, contribute, and grow, while honoring the experiences, perspectives, and unique identities of all.

The University of Pittsburgh is an Affirmative Action/Equal Opportunity Employer and values equality of opportunity, human dignity and diversity. EOE, including disability/vets. The University of Pittsburgh requires all Pitt constituents (employees and students) on all campuses to be vaccinated against COVID-19 or have an approved exemption. Visit coronavirus.pitt.edu to learn more about this requirement.

Assignment Category : Full-time regular

Job Classification : Staff.Systems/Programmer.IV

Campus : Pittsburgh

Minimum Education Level Required : Master's

Minimum Experience Level Required : 5-6 years experience

Work Schedule : Monday - Friday, 8:30 a.m. - 5:00 p.m.

Work Arrangement : Hybrid: Combination of On-Campus and Remote work as determined by the department.

Hiring Range : $46,644.00 - $76,440.00

Relocation Offered : No

Visa Sponsorship Provided : Yes

Background Check : For position finalists, employment with the University will require successful completion of a background check

Child Protection Clearances : Not Applicable

Required Documents : Resume

Optional Documents : Cover Letter",Entry level,Full-time,Information Technology,Higher Education,https://www.linkedin.com/jobs/view/statistical-data-analyst-at-university-of-pittsburgh-3346151839?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=GSokl3l5OIMd24tyaI6C7A%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,The Judge Group,Analytics Analyst,"Pittsburgh, PA","***Must work EST hours***

With the ever-increasing regulatory requirements and layered global complexity, managing the regulatory response across financial operational environments has become paramount. To help carry us even further, we’re searching for an experienced data analyst to join our team. The ideal candidate should be highly skilled in all aspects of data analytics, including mining, generation, and visualization. Additionally, the ideal candidate would also be committed to transforming data into readable, goal-driven reports for insight into the regulatory landscape.",Associate,Contract,Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/analytics-analyst-at-the-judge-group-3347475023?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=wGxl2sNpOobnSlZSMCSfvw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Jobot,Communications Data Analyst,"Pittsburgh, PA","Communications Analyst - hybrid remote/onsite work

This Jobot Job is hosted by Melanie McSweeney

Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.

Salary $100,000 - $120,000 per year


Non-profit 'Think Tank' research organization that develops solutions to public policy challenges to help make communities throughout the world safer and more secure, healthier and more prosperous





Great Benefits

Medical, Dental, Vision

9 paid holidays

20 Days of PTO per year

9 sick days per year

Wellness Programs

Health Flex Spending Account

Dependent Car Flex Spending Account

Care@Work - care.com

Short Term and Long Term Disability

Maternity, Parent, Caregiver Leave

Life Insurance

Adoption Assistance Reimbursement

Tuition Reimbursement

401(a) - 20% vested after 2 years, 50% after 3 years, %100 vested after 4 years


Location

Pittsburgh, PA

This position offers a flex work arrangement with a mix of time in the office and working from home

Using discretion and independent judgement, the successful candidate will be responsible for implementing advanced digital analytics analysis and translating business goals into solutions that lead to measurable improvements in the uptake of our companies research among key audiences.





Education

BA/BS in a related field is required, a MA/MS is preferred.



Interested in hearing more? Easy Apply now by clicking the ""Apply"" button.",Mid-Senior level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Technology, Information and Media",https://www.linkedin.com/jobs/view/communications-data-analyst-at-jobot-3325132264?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=lf4aPMZTgkBOLNftLgJ6hA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Eliassen Group,Analytics Analyst,"Pittsburgh, PA","Our client, a financial industry leader, needs a dedicated Analytics Analyst to join their team. Seeking candidates local to Pittsburgh, PA or Lake Mary, FL

Due to client requirement, applicants must be willing and able to work on a w2 basis. For our w2 consultants, we offer a great benefits package that includes Medical, Dental, and Vision benefits, 401k with company matching, and life insurance.",Associate,Contract,Information Technology and Analyst,IT Services and IT Consulting,https://www.linkedin.com/jobs/view/analytics-analyst-at-eliassen-group-3324683924?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=PlT6Srej7v0feUi2wh9S%2BQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Polyconcept North America,Website Data Analyst (Remote),"New Kensington, PA","Summary

The Website Data Analyst provides analysis and strategic insights to enhance the PCNA digital customer journey and accelerate growth. This position is responsible for the reporting and performance analysis of PCNA’s Digital Experience, including PCNA.com and marketing campaigns. He or she will capture data and analytics needed to drive merchandising and campaign decisions, provide strategic and tactical opportunities, and evangelize data-driven insights that improve our customer experience.",Entry level,Full-time,Information Technology,Manufacturing,https://www.linkedin.com/jobs/view/website-data-analyst-remote-at-polyconcept-north-america-3346098877?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=S%2BHogV%2BQE3ZHSsV%2BzMhRsQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,COGENT Infotech,Data Analytics Professional,"Pittsburgh, PA",,,,,,https://www.linkedin.com/jobs/view/data-analytics-professional-at-cogent-infotech-3313975966?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=ytKXksnQ%2FW4nFWLznJpFTw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Thermo Fisher Scientific,Data Analyst *Hybrid Role*,"Pittsburgh, PA","Come Grow Your Career With Thermo Fisher Scientific!

* Hybrid role reporting to our Pittsburgh location*

Thermo Fisher Scientific is the global leader in serving science. Ranked #92 on the 2022 Fortune 500 list and with revenues of more than $40 billion, you’ll discover opportunities to grow an exciting career with an industry leader. When you’re part of the team at Thermo Fisher Scientific, you’ll do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Your work will have real-world impact, and you’ll be supported in achieving your career goals.

How will you make an impact?

This new position, Data Governance Analyst for Customer Channels Group (CCG) plays a vital role in protecting a key asset of Thermo Fisher Scientific: the Data. This individual would partner with application and data owners and the business to ensure data governance needs are being met.

In partnership with CCG’s business and IT divisions, the Data Governance Analyst will be passionate about ensuring data is cataloged and data definitions, lineage, owners, rules, etc are detailed, and data quality standards are being met to enable data consumers accurate and rapid access to clean, consistent, meaningful data for agile analytics and development needs.

Successful candidates must have superb communication and prioritization skills and be diligent.

What will you do?


How will you get here?

Required Skills:


Education/Experience Level:



Our Mission is to enable our customers to make the world healthier, cleaner and safer. As one team of 100,000+ colleagues, we share a common set of values - Integrity, Intensity, Innovation and Involvement - working together to accelerate research, solve complex scientific challenges, drive technological innovation and support patients in need. #StartYourStory at Thermo Fisher Scientific, where diverse experiences, backgrounds and perspectives are valued.

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",Not Applicable,Full-time,Information Technology,Biotechnology Research and Pharmaceutical Manufacturing,https://www.linkedin.com/jobs/view/data-analyst-hybrid-role-at-thermo-fisher-scientific-3335363553?refId=Upgt8JoBO3Vxd0l5DQ4sTQ%3D%3D&trackingId=VlX8q00lWYNUoe66JEDpgA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
2022-09-18,Apex Systems,Data Analysis Engineer,"Pittsburgh, PA","R&D Data Analysis Engineer

The engineer’s general function is to build, maintain, and improve laboratory and plant-level equipment (including equipment for sample preparation, test, and measurement), and develop new experimental methods, in support of R&D and non-R&D customers. The engineer also own process and product improvement projects that may have visibility beyond R&D.",Entry level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,https://www.linkedin.com/jobs/view/data-analysis-engineer-at-apex-systems-3351654788?refId=ishp48tN%2F38FWw3Cyk0vow%3D%3D&trackingId=4mifKbMSwec4ST6GMSjVpA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
